Date,Rating,Reviews
"Apr 29, 2024",5,"Pulp Fiction rules. It is one of the pinnacles of cinema. But for all the people who like to spoil the fun by asking the question why, here's why: excellent performances (especially Samuel L. Jackson & John Travolta as a pair of hit men), fun characters and possibly the greatest screenplay of all time. For anyone who hasn't seen Pulp Fiction, watch it. For those who have seen it, watch it again and revisit Butch, Jules, Vincent, Mia, Pumpkin and Honey Bunny. Thank you, Quentin.Relive one of the greatest films of all time 10/10. Rated R for Strong Graphic Violence, Frequent Language, Strong Drug Use and Some Very Disturbing Sexual Content."
"Apr 18, 2023",4,Every Terintino film I've ever seen has been awesome. This is no exception. The movie is so good and just interesting he has like four stories and ends up connecting every single one. The movie is super intense at parts and then really funny at others. The part where Sam L. Jackson takes that guys big kahuna burger and is questioning him is so tense since you know he isn't making it out alive. Also one my hands down favorite parts in a movie ever is when John Travolta's gun goes off in the car and he's just like ah man I just shot Marvin in the face like it was just a little slip up. The guys head exploded h=in his car! Anyway incredible movie definitely watch.Also if you didn't know there is a theory that was confirmed by Terintino That all his films are connected.
"Apr 18, 2023",4,"Well I had heard a lot about this movie earlier but after seeing it I can only say that it is a below average movie. I mean the only thing I enjoyed was some dialogs (although most of them were out of context)and nice editing job.But the story ,if there was one was plain boring .Acting was OK except Samuel who was great. I am very much surprised because it was nominated for 7 Oscars and got ""Best Screenplay"" award which was a big joke. Also Bruce Willis part was half baked and had very little significance for the story.So overall this movie which is a ""so called classic"" disappoints because bits of comedy like the Bonnie situation are not enough to make a movie classic."
"Mar 17, 2023",3,"Tarantino might not be the best actor in the world and a lot of people just don't like him and his movies full stop but I really do think he has created a master piece when it comes to pulp fiction and if you ever get the chance to watch it in a movie theater take that opportunity with both hands.I think the real reason Tarantino has been able to make such a classic movie is because he is a film fan and only a film fan could have ever put together the pulp fiction movie and made it work, I watched pulp fiction on my 50"" plasma screen last weekend probably for the 20th time and it has everything, gangsters, hit men, drugs, comedy, extreme violence but most of all it has ""COOL"" this is the movie that makes you feel like smoking or giving up your day job and being someone more interesting...in reality cool is not very cool at all and you most likely end up dead but as far as movies go this is cool."
"Mar 10, 2023",3,"Pulp Fiction put non-linear out-of-order films on the map. With all of the films that follow a formula, it's good to see one that's essentially a puzzle you have to piece together. Each of the characters have some way of bumping into each other. As a departure from the grave tone of his first film, the indie hit Reservoir Dogs, this started Tarantino's signature style of excessively gory dark comedies with humorous observational dialogue. This film is bizarre, has some tense frantic moments, will make you laugh and is overall unlike any other film out there. It's biggest advantage, aside from Samuel Jackson and John Travolta having philosophical discussions about hamburgers, is the fact that it's volatile and it's completely impossible to predict what's next. This was a benchmark movie and, in some ways, a paradigm shift for the industry."
"Mar 4, 2023",3,"Well, it's a movie of all movies. You can watch it many times and not get bored. There will be always a number of people who won't like it but so what... I love it even though I felt like it's not mine in the first time, but later ""Fiction"" became one of my favorites."
"Mar 2, 2023",3,"Pulp Fiction is often considered the coolest and greatest film of all time. But, the people who usually say this are pretentious film snobs and people who think this is something extraordinary. Excuse me, it isn't.First of all the film has NO plot. If a film has no plot, then why should we care about the unlikeable characters? Second, the diagloue is so....BAD. Does the director think people actually talk like this, because, well they don't.Third, the grossly, glamorous violence, is disgusting. This isn't a horror film, so why do we need such violence popping in and out of the movie? So, I urge everyone to avoid the hype of this pretentious, terrible mess."
"Feb 25, 2023",8,"This is an absolutely amazing film. Great story. Great characters. The layout of the film is truly amazing and goes against the classical 3 stage story, almost as if it is 4 short films with multiple separate protagonists and antagonists. It breaks the norm of movie story telling and that's why it is so highly renowned in the movie industry. Definitely would recommend."
"Aug 29, 2022",7,"This is, in my opinion, the most over-rated film of all time. Sure, there is some snappy dialogue here and there, and Tarantino has a good ear for music, but none of this warrants the gushing praise heaped upon this movie, nor the godlike status bestowed upon Tarantino himself.It's over-stylised, over-loud, over-acted, (sorry Samuel, Tim, John, Uma & Bruce) and the non-linear narrative so favoured by the director simply doesn't work.But it's fashionable, so it's popular.By the way, this is one of the few films where I've actually seen people get up and walk out of the cinema before the end, so I guess I'm not the only one who didn't like it."
"Aug 16, 2022",6,A True test of how great a movie is .. is how well it. Still plays almost 30 years later ... well done. Quentin. And 30 years from now Django will too. Thanks for all of your movies.
